Customer_ID,Customer_Name,Region,City,Segment
C10051,Rahul Store,South,Kochi,Retail
C10052,Bose Store,West,Pune,Wholesale
C10053,Malhotra Store,West,Pune,Retail
C10054,Gupta Mart,East,Patna,Corporate
C10055,Gupta Traders,East,Kolkata,Online
C10056,Shah Enterprises,South,Bengaluru,Retail
C10057,Das Emporium,West,Surat,Retail
C10058,Pillai Mart,East,Bhubaneswar,Retail
C10059,Iyer Enterprises,East,Bhubaneswar,Online
C10060,Verma Traders,North,Chandigarh,Online
C10061,Pillai Distributors,North,Jaipur,Wholesale
C10062,Rao Mart,North,Delhi,Wholesale
C10063,Rao Traders,Central,Raipur,Retail
C10064,Patel Shop,Central,Indore,Online
C10065,Gupta Emporium,North,Chandigarh,Online
C10066,Verma Distributors,North,Jaipur,Retail
C10067,Nair Distributors,West,Pune,Corporate
C10068,Shah Enterprises,East,Patna,Retail
C10069,Bose Mart,South,Hyderabad,Retail
C10070,Shah Enterprises,West,Ahmedabad,Online
C10071,Kapoor Emporium,South,Hyderabad,Wholesale
C10072,Nair Shop,North,Chandigarh,Retail
C10073,Rao Retail,South,Chennai,Retail
C10074,Verma Enterprises,Central,Bhopal,Retail
C10075,Rahul Distributors,West,Surat,Retail
C10076,Nair Distributors,North,Chandigarh,Corporate
C10077,Nair Traders,East,Guwahati,Online
C10078,Shah Enterprises,Central,Nagpur,Retail
C10079,Rao Traders,Central,Nagpur,Online
C10080,Joshi Enterprises,West,Pune,Retail
C10081,Pillai Emporium,North,Delhi,Retail
C10082,Pillai Mart,South,Kochi,Retail
C10083,Rao Distributors,South,Chennai,Retail
C10084,Verma Mart,North,Delhi,Retail
C10085,Rao Traders,North,Lucknow,Wholesale
C10086,Das Distributors,South,Kochi,Retail
C10087,Kapoor Retail,East,Guwahati,Retail
C10088,Rao Emporium,South,Bengaluru,Wholesale
C10089,Gupta Distributors,East,Guwahati,Online
C10090,Chopra Emporium,South,Chennai,Corporate
C10091,Nair Traders,North,Jaipur,Online
C10092,Sharma Retail,Central,Indore,Retail
C10093,Verma Mart,East,Bhubaneswar,Retail
C10094,Iyer Distributors,South,Kochi,Wholesale
C10095,Kumar Retail,Central,Raipur,Wholesale
C10096,Iyer Store,Central,Nagpur,Online
C10097,Rao Retail,Central,Indore,Online
C10098,Gupta Distributors,North,Delhi,Wholesale
C10099,Sharma Mart,West,Surat,Corporate
C10100,Gupta Distributors,Central,Indore,Retail
C10101,Shah Emporium,Central,Nagpur,Online
C10102,Patel Store,South,Chennai,Online
C10103,Malhotra Retail,Central,Raipur,Wholesale
C10104,Kumar Shop,East,Bhubaneswar,Retail
C10105,Singh Traders,East,Kolkata,Retail
C10106,Iyer Mart,East,Guwahati,Retail
C10107,Gupta Distributors,West,Ahmedabad,Retail
C10108,Reddy Retail,North,Delhi,Online
C10109,Joshi Emporium,East,Patna,Retail
C10110,Shah Distributors,Central,Raipur,Online
C10111,Verma Retail,East,Patna,Wholesale
C10112,Iyer Enterprises,South,Bengaluru,Wholesale
C10113,Reddy Store,North,Lucknow,Retail
C10114,Gupta Retail,East,Guwahati,Retail
C10115,Sharma Traders,West,Ahmedabad,Wholesale
C10116,Joshi Shop,East,Guwahati,Retail
C10117,Singh Store,Central,Nagpur,Corporate
C10118,Reddy Store,West,Ahmedabad,Online
C10119,Bose Emporium,East,Bhubaneswar,Retail
C10120,Patel Store,North,Jaipur,Wholesale
C10121,Mehta Enterprises,East,Bhubaneswar,Online
C10122,Rao Shop,North,Jaipur,Corporate
C10123,Reddy Emporium,West,Mumbai,Corporate
C10124,Reddy Traders,North,Delhi,Online
C10125,Shah Mart,Central,Indore,Retail
C10126,Patel Retail,South,Bengaluru,Wholesale
C10127,Joshi Enterprises,East,Guwahati,Online
C10128,Sharma Store,North,Delhi,Online
C10129,Malhotra Traders,South,Hyderabad,Online
C10130,Verma Emporium,Central,Bhopal,Wholesale
C10131,Reddy Mart,South,Hyderabad,Retail
C10132,Pillai Emporium,East,Bhubaneswar,Wholesale
C10133,Chopra Traders,Central,Bhopal,Corporate
C10134,Verma Retail,West,Pune,Wholesale
C10135,Kapoor Retail,North,Lucknow,Retail
C10136,Chopra Mart,South,Hyderabad,Retail
C10137,Kumar Retail,South,Hyderabad,Online
C10138,Joshi Store,South,Chennai,Corporate
C10139,Kumar Emporium,South,Chennai,Retail
C10140,Mehta Distributors,East,Kolkata,Online
C10141,Kapoor Mart,South,Kochi,Retail
C10142,Gupta Retail,South,Bengaluru,Retail
C10143,Iyer Shop,East,Patna,Retail
C10144,Singh Enterprises,South,Kochi,Online
C10145,Rahul Mart,South,Kochi,Corporate
C10146,Joshi Emporium,East,Patna,Online
C10147,Kapoor Store,Central,Bhopal,Wholesale
C10148,Bose Distributors,East,Patna,Wholesale
C10149,Gupta Traders,East,Bhubaneswar,Online
C10150,Malhotra Distributors,Central,Nagpur,Corporate
C10151,Gupta Enterprises,West,Surat,Online
C10152,Bose Store,South,Kochi,Online
C10153,Mehta Emporium,South,Chennai,Online
C10154,Rahul Retail,East,Kolkata,Wholesale
C10155,Joshi Mart,East,Bhubaneswar,Retail
C10156,Mehta Distributors,North,Lucknow,Corporate
C10157,Verma Enterprises,North,Lucknow,Wholesale
C10158,Mehta Store,South,Bengaluru,Wholesale
C10159,Gupta Distributors,Central,Indore,Retail
C10160,Iyer Shop,West,Mumbai,Wholesale
C10161,Bose Traders,Central,Bhopal,Retail
C10162,Shah Emporium,North,Lucknow,Retail
C10163,Das Retail,East,Guwahati,Corporate
C10164,Verma Store,East,Bhubaneswar,Corporate
C10165,Gupta Distributors,East,Kolkata,Corporate
C10166,Joshi Enterprises,East,Bhubaneswar,Retail
C10167,Iyer Emporium,South,Bengaluru,Online
C10168,Rao Distributors,North,Delhi,Retail
C10169,Mehta Store,Central,Nagpur,Retail
C10170,Reddy Traders,Central,Raipur,Retail
C10171,Malhotra Mart,North,Chandigarh,Wholesale
C10172,Gupta Enterprises,East,Bhubaneswar,Retail
C10173,Iyer Shop,East,Guwahati,Retail
C10174,Singh Emporium,West,Surat,Retail
C10175,Gupta Emporium,Central,Raipur,Retail
C10176,Mehta Retail,East,Kolkata,Online
C10177,Chopra Store,West,Pune,Retail
C10178,Malhotra Distributors,Central,Bhopal,Wholesale
C10179,Singh Store,Central,Raipur,Retail
C10180,Chopra Store,South,Chennai,Retail
C10181,Joshi Mart,Central,Nagpur,Retail
C10182,Chopra Shop,East,Guwahati,Corporate
C10183,Kapoor Distributors,North,Chandigarh,Online
C10184,Nair Store,West,Ahmedabad,Online
C10185,Pillai Shop,Central,Bhopal,Retail
C10186,Sharma Emporium,South,Chennai,Wholesale
C10187,Patel Retail,East,Kolkata,Online
C10188,Gupta Traders,South,Bengaluru,Retail
C10189,Gupta Mart,North,Delhi,Retail
C10190,Reddy Mart,Central,Nagpur,Retail
C10191,Iyer Distributors,North,Chandigarh,Online
C10192,Iyer Retail,East,Kolkata,Retail
C10193,Kumar Mart,North,Delhi,Retail
C10194,Patel Mart,West,Surat,Wholesale
C10195,Singh Retail,Central,Raipur,Retail
C10196,Rao Emporium,West,Pune,Retail
C10197,Verma Traders,West,Surat,Retail
C10198,Kapoor Distributors,Central,Nagpur,Online
C10199,Reddy Shop,Central,Nagpur,Retail
C10200,Nair Distributors,Central,Bhopal,Online
C10201,Kumar Enterprises,South,Chennai,Wholesale
C10202,Reddy Distributors,East,Kolkata,Wholesale
C10203,Kapoor Emporium,Central,Raipur,Online
C10204,Reddy Emporium,South,Kochi,Wholesale
C10205,Rao Store,West,Pune,Online
C10206,Malhotra Traders,North,Chandigarh,Retail
C10207,Patel Store,Central,Indore,Online
C10208,Mehta Store,West,Surat,Wholesale
C10209,Mehta Distributors,West,Pune,Wholesale
C10210,Mehta Mart,Central,Indore,Wholesale
C10211,Reddy Distributors,South,Bengaluru,Retail
C10212,Reddy Distributors,East,Bhubaneswar,Online
C10213,Rao Retail,Central,Raipur,Retail
C10214,Kumar Store,North,Chandigarh,Wholesale
C10215,Chopra Mart,Central,Indore,Corporate
C10216,Iyer Store,South,Hyderabad,Wholesale
C10217,Chopra Shop,East,Bhubaneswar,Retail
C10218,Bose Mart,East,Bhubaneswar,Corporate
C10219,Sharma Store,West,Surat,Wholesale
C10220,Kumar Store,Central,Nagpur,Retail
C10221,Singh Retail,South,Kochi,Wholesale
C10222,Rahul Retail,North,Jaipur,Retail
C10223,Bose Shop,East,Guwahati,Retail
C10224,Shah Mart,West,Pune,Wholesale
C10225,Nair Store,West,Ahmedabad,Online
C10226,Gupta Emporium,West,Pune,Retail
C10227,Gupta Mart,South,Kochi,Online
C10228,Das Mart,Central,Bhopal,Online
C10229,Chopra Shop,North,Chandigarh,Corporate
C10230,Mehta Retail,North,Lucknow,Retail
C10231,Chopra Enterprises,North,Delhi,Retail
C10232,Iyer Shop,Central,Bhopal,Corporate
C10233,Kumar Mart,North,Delhi,Corporate
C10234,Rahul Store,West,Pune,Online
C10235,Malhotra Traders,Central,Bhopal,Retail
C10236,Chopra Store,West,Mumbai,Corporate
C10237,Malhotra Enterprises,Central,Raipur,Wholesale
C10238,Kapoor Emporium,North,Chandigarh,Retail
C10239,Joshi Shop,East,Patna,Online
C10240,Pillai Distributors,East,Kolkata,Wholesale
C10241,Iyer Shop,West,Surat,Retail
C10242,Shah Enterprises,West,Surat,Online
C10243,Reddy Mart,East,Patna,Online
C10244,Pillai Traders,South,Chennai,Online
C10245,Rahul Retail,North,Chandigarh,Retail
C10246,Shah Mart,East,Guwahati,Retail
C10247,Mehta Store,South,Bengaluru,Online
C10248,Kapoor Shop,East,Bhubaneswar,Online
C10249,Nair Store,West,Surat,Online
C10250,Sharma Distributors,East,Guwahati,Wholesale
C10251,Patel Store,East,Guwahati,Retail
C10252,Bose Retail,North,Jaipur,Retail
C10253,Joshi Distributors,West,Mumbai,Retail
C10254,Reddy Traders,East,Kolkata,Wholesale
C10255,Mehta Store,North,Delhi,Wholesale
C10256,Verma Retail,South,Hyderabad,Wholesale
C10257,Pillai Retail,West,Pune,Online
C10258,Malhotra Mart,Central,Nagpur,Retail
C10259,Sharma Enterprises,East,Bhubaneswar,Online
C10260,Rao Store,Central,Nagpur,Retail
C10261,Bose Mart,North,Chandigarh,Retail
C10262,Rao Shop,South,Chennai,Retail
C10263,Nair Traders,Central,Raipur,Retail
C10264,Verma Enterprises,North,Lucknow,Corporate
C10265,Shah Distributors,West,Ahmedabad,Online
C10266,Nair Emporium,South,Kochi,Wholesale
C10267,Patel Store,South,Bengaluru,Retail
C10268,Joshi Retail,East,Patna,Retail
C10269,Verma Distributors,South,Kochi,Wholesale
C10270,Singh Traders,Central,Indore,Retail
C10271,Bose Store,Central,Nagpur,Retail
C10272,Joshi Emporium,East,Kolkata,Online
C10273,Chopra Enterprises,East,Kolkata,Online
C10274,Reddy Store,North,Delhi,Corporate
C10275,Patel Retail,South,Hyderabad,Wholesale
C10276,Mehta Enterprises,North,Delhi,Wholesale
C10277,Verma Store,Central,Raipur,Wholesale
C10278,Patel Mart,South,Hyderabad,Online
C10279,Pillai Mart,South,Kochi,Retail
C10280,Patel Retail,Central,Bhopal,Retail
C10281,Patel Enterprises,West,Surat,Online
C10282,Chopra Store,West,Pune,Wholesale
C10283,Pillai Distributors,North,Lucknow,Wholesale
C10284,Pillai Distributors,East,Kolkata,Online
C10285,Shah Retail,East,Guwahati,Corporate
C10286,Rahul Store,South,Hyderabad,Retail
C10287,Singh Store,West,Mumbai,Online
C10288,Kapoor Shop,Central,Raipur,Wholesale
C10289,Nair Traders,South,Kochi,Wholesale
C10290,Shah Mart,South,Bengaluru,Online
C10291,Bose Distributors,South,Kochi,Retail
C10292,Das Emporium,Central,Indore,Retail
C10293,Rao Shop,North,Chandigarh,Online
C10294,Nair Enterprises,Central,Indore,Retail
C10295,Sharma Shop,West,Surat,Retail
C10296,Malhotra Store,East,Patna,Retail
C10297,Nair Emporium,East,Bhubaneswar,Corporate
C10298,Rao Mart,Central,Nagpur,Online
C10299,Patel Shop,West,Surat,Online
C10300,Kumar Emporium,South,Kochi,Wholesale
C10301,Iyer Emporium,North,Delhi,Retail
C10302,Gupta Retail,West,Pune,Corporate
C10303,Joshi Traders,North,Delhi,Retail
C10304,Rao Enterprises,North,Chandigarh,Online
C10305,Rao Store,Central,Bhopal,Wholesale
C10306,Patel Distributors,East,Guwahati,Retail
C10307,Shah Store,West,Ahmedabad,Wholesale
C10308,Rahul Mart,South,Kochi,Wholesale
C10309,Rahul Traders,North,Jaipur,Online
C10310,Rao Emporium,North,Lucknow,Online
C10311,Nair Enterprises,South,Bengaluru,Retail
C10312,Singh Retail,North,Jaipur,Online
C10313,Shah Traders,East,Guwahati,Online
C10314,Mehta Mart,South,Bengaluru,Online
C10315,Kumar Retail,East,Kolkata,Retail
C10316,Singh Traders,East,Guwahati,Online
C10317,Rahul Distributors,South,Chennai,Wholesale
C10318,Pillai Enterprises,East,Patna,Retail
C10319,Nair Shop,North,Chandigarh,Retail
C10320,Malhotra Traders,South,Kochi,Wholesale
C10321,Malhotra Enterprises,Central,Bhopal,Online
C10322,Shah Shop,Central,Bhopal,Retail
C10323,Rahul Shop,East,Patna,Online
C10324,Gupta Enterprises,Central,Nagpur,Online
C10325,Chopra Store,East,Kolkata,Online
C10326,Rahul Enterprises,North,Chandigarh,Retail
C10327,Joshi Retail,Central,Nagpur,Wholesale
C10328,Shah Mart,East,Guwahati,Corporate
C10329,Chopra Traders,West,Pune,Retail
C10330,Das Retail,West,Ahmedabad,Retail
C10331,Das Traders,South,Chennai,Wholesale
C10332,Singh Emporium,West,Surat,Retail
C10333,Shah Store,East,Patna,Online
C10334,Gupta Shop,South,Bengaluru,Corporate
C10335,Patel Retail,South,Chennai,Retail
C10336,Verma Shop,West,Mumbai,Online
C10337,Chopra Emporium,South,Hyderabad,Online
C10338,Sharma Traders,North,Lucknow,Online
C10339,Malhotra Traders,Central,Bhopal,Retail
C10340,Das Store,South,Chennai,Online
C10341,Rahul Distributors,West,Ahmedabad,Online
C10342,Singh Traders,West,Ahmedabad,Retail
C10343,Kapoor Distributors,Central,Raipur,Corporate
C10344,Gupta Emporium,West,Surat,Wholesale
C10345,Shah Enterprises,West,Mumbai,Online
C10346,Iyer Distributors,Central,Indore,Online
C10347,Patel Shop,Central,Nagpur,Online
C10348,Patel Emporium,North,Chandigarh,Retail
C10349,Joshi Traders,West,Ahmedabad,Wholesale
C10350,Das Mart,North,Lucknow,Retail
C10351,Pillai Retail,Central,Raipur,Retail
C10352,Kumar Mart,North,Jaipur,Retail
C10353,Patel Retail,South,Kochi,Wholesale
C10354,Mehta Shop,North,Lucknow,Online
C10355,Nair Enterprises,West,Ahmedabad,Retail
C10356,Kumar Mart,North,Jaipur,Retail
C10357,Nair Traders,North,Delhi,Corporate
C10358,Rahul Shop,East,Patna,Retail
C10359,Rahul Traders,Central,Bhopal,Retail
C10360,Joshi Traders,East,Bhubaneswar,Online
C10361,Rao Retail,East,Patna,Retail
C10362,Sharma Enterprises,West,Mumbai,Retail
C10363,Kapoor Enterprises,East,Guwahati,Retail
C10364,Rao Retail,South,Hyderabad,Online
C10365,Iyer Retail,East,Bhubaneswar,Online
C10366,Iyer Store,North,Jaipur,Retail
C10367,Das Enterprises,South,Kochi,Wholesale
C10368,Malhotra Distributors,West,Surat,Retail
C10369,Joshi Enterprises,South,Chennai,Retail
C10370,Nair Shop,North,Delhi,Online
C10371,Kapoor Traders,North,Chandigarh,Corporate
C10372,Verma Enterprises,Central,Raipur,Online
C10373,Rao Distributors,South,Kochi,Online
C10374,Malhotra Retail,North,Delhi,Online
C10375,Kapoor Store,West,Surat,Retail
C10376,Gupta Retail,East,Patna,Wholesale
C10377,Mehta Shop,East,Guwahati,Online
C10378,Rao Enterprises,Central,Indore,Online
C10379,Joshi Store,South,Bengaluru,Online
C10380,Kumar Store,East,Patna,Retail
C10381,Singh Enterprises,West,Mumbai,Wholesale
C10382,Rahul Traders,West,Pune,Online
C10383,Bose Emporium,South,Kochi,Wholesale
C10384,Joshi Shop,West,Ahmedabad,Retail
C10385,Rahul Shop,West,Ahmedabad,Retail
C10386,Iyer Mart,North,Lucknow,Wholesale
C10387,Malhotra Enterprises,North,Delhi,Online
C10388,Nair Mart,West,Ahmedabad,Retail
C10389,Mehta Traders,North,Chandigarh,Online
C10390,Gupta Retail,Central,Indore,Corporate
C10391,Pillai Traders,North,Delhi,Retail
C10392,Joshi Store,Central,Indore,Wholesale
C10393,Mehta Emporium,West,Ahmedabad,Retail
C10394,Reddy Emporium,East,Patna,Retail
C10395,Kumar Shop,South,Bengaluru,Wholesale
C10396,Nair Mart,South,Bengaluru,Retail
C10397,Verma Emporium,West,Pune,Wholesale
C10398,Iyer Enterprises,West,Ahmedabad,Online
C10399,Joshi Store,South,Kochi,Retail
C10400,Singh Enterprises,East,Bhubaneswar,Retail
C10401,Verma Retail,Central,Bhopal,Corporate
C10402,Reddy Enterprises,South,Chennai,Corporate
C10403,Malhotra Emporium,West,Mumbai,Retail
C10404,Verma Mart,North,Delhi,Online
C10405,Nair Shop,Central,Nagpur,Corporate
C10406,Mehta Store,North,Jaipur,Retail
C10407,Joshi Distributors,South,Bengaluru,Wholesale
C10408,Pillai Shop,East,Guwahati,Retail
C10409,Rao Retail,South,Hyderabad,Retail
C10410,Singh Shop,North,Lucknow,Retail
C10411,Iyer Distributors,West,Surat,Retail
C10412,Chopra Store,North,Jaipur,Wholesale
C10413,Kumar Distributors,Central,Nagpur,Retail
C10414,Iyer Distributors,North,Jaipur,Retail
C10415,Joshi Store,South,Bengaluru,Online
C10416,Reddy Enterprises,Central,Indore,Online
C10417,Kumar Store,North,Lucknow,Online
C10418,Rahul Mart,North,Delhi,Retail
C10419,Bose Shop,West,Ahmedabad,Wholesale
C10420,Kapoor Shop,North,Lucknow,Retail
C10421,Pillai Distributors,Central,Raipur,Wholesale
C10422,Patel Mart,East,Guwahati,Wholesale
C10423,Chopra Enterprises,Central,Bhopal,Retail
C10424,Verma Store,South,Hyderabad,Wholesale
C10425,Reddy Mart,North,Jaipur,Wholesale
C10426,Kapoor Emporium,Central,Nagpur,Retail
C10427,Patel Retail,West,Ahmedabad,Retail
C10428,Pillai Enterprises,Central,Raipur,Retail
C10429,Shah Store,South,Bengaluru,Online
C10430,Reddy Shop,East,Guwahati,Corporate
C10431,Chopra Mart,East,Kolkata,Retail
C10432,Bose Enterprises,East,Patna,Retail
C10433,Malhotra Mart,South,Kochi,Retail
C10434,Reddy Mart,South,Kochi,Wholesale
C10435,Kumar Retail,West,Ahmedabad,Retail
C10436,Kapoor Distributors,North,Lucknow,Corporate
C10437,Rahul Retail,South,Chennai,Retail
C10438,Das Store,South,Kochi,Wholesale
C10439,Reddy Shop,North,Lucknow,Retail
C10440,Reddy Distributors,North,Jaipur,Retail
C10441,Singh Shop,East,Bhubaneswar,Retail
C10442,Kapoor Traders,North,Delhi,Retail
C10443,Rao Shop,South,Hyderabad,Corporate
C10444,Pillai Distributors,East,Guwahati,Wholesale
C10445,Chopra Retail,Central,Raipur,Online
C10446,Patel Store,North,Chandigarh,Retail
C10447,Verma Mart,East,Kolkata,Retail
C10448,Pillai Emporium,North,Jaipur,Corporate
C10449,Reddy Enterprises,East,Guwahati,Retail
C10450,Chopra Distributors,East,Guwahati,Online
C10451,Bose Distributors,West,Ahmedabad,Corporate
C10452,Rao Emporium,East,Guwahati,Wholesale
C10453,Bose Enterprises,Central,Bhopal,Retail
C10454,Verma Shop,North,Jaipur,Retail
C10455,Singh Mart,North,Chandigarh,Retail
C10456,Patel Emporium,North,Jaipur,Retail
C10457,Pillai Enterprises,South,Bengaluru,Online
C10458,Sharma Traders,North,Chandigarh,Corporate
C10459,Joshi Mart,North,Delhi,Online
C10460,Malhotra Emporium,South,Chennai,Retail
C10461,Das Retail,Central,Raipur,Retail
C10462,Sharma Traders,Central,Nagpur,Retail
C10463,Reddy Store,North,Lucknow,Online
C10464,Rahul Distributors,Central,Raipur,Retail
C10465,Rahul Traders,South,Hyderabad,Wholesale
C10466,Chopra Traders,East,Bhubaneswar,Corporate
C10467,Gupta Distributors,South,Bengaluru,Corporate
C10468,Rahul Mart,East,Bhubaneswar,Retail
C10469,Mehta Store,West,Mumbai,Corporate
C10470,Rao Enterprises,West,Mumbai,Retail
C10471,Reddy Retail,East,Guwahati,Online
C10472,Rahul Retail,West,Ahmedabad,Retail
C10473,Iyer Store,West,Surat,Retail
C10474,Malhotra Enterprises,North,Chandigarh,Online
C10475,Sharma Mart,South,Chennai,Wholesale
C10476,Chopra Enterprises,North,Jaipur,Corporate
C10477,Kumar Store,West,Ahmedabad,Retail
C10478,Sharma Mart,East,Guwahati,Retail
C10479,Verma Distributors,West,Mumbai,Wholesale
C10480,Iyer Traders,East,Bhubaneswar,Online
C10481,Rao Shop,South,Kochi,Retail
C10482,Bose Shop,North,Jaipur,Wholesale
C10483,Iyer Mart,Central,Indore,Retail
C10484,Sharma Distributors,South,Bengaluru,Retail
C10485,Das Distributors,North,Lucknow,Retail
C10486,Reddy Traders,South,Bengaluru,Retail
C10487,Rao Enterprises,Central,Raipur,Retail
C10488,Mehta Shop,South,Hyderabad,Wholesale
C10489,Verma Traders,Central,Nagpur,Retail
C10490,Chopra Retail,East,Bhubaneswar,Retail
C10491,Kumar Retail,Central,Indore,Wholesale
C10492,Pillai Traders,West,Mumbai,Online
C10493,Malhotra Retail,North,Delhi,Online
C10494,Kapoor Shop,East,Kolkata,Wholesale
C10495,Singh Store,East,Kolkata,Wholesale
C10496,Rahul Traders,South,Hyderabad,Retail
C10497,Reddy Mart,East,Guwahati,Wholesale
C10498,Kapoor Emporium,North,Delhi,Online
C10499,Kumar Retail,West,Ahmedabad,Retail
C10500,Reddy Retail,Central,Bhopal,Online
C10501,Verma Emporium,North,Jaipur,Wholesale
C10502,Gupta Shop,East,Patna,Retail
C10503,Pillai Traders,West,Ahmedabad,Corporate
C10504,Joshi Emporium,North,Jaipur,Online
C10505,Kapoor Mart,South,Bengaluru,Retail
C10506,Mehta Traders,South,Chennai,Online
C10507,Verma Mart,North,Chandigarh,Corporate
C10508,Verma Enterprises,Central,Nagpur,Wholesale
C10509,Rao Shop,East,Bhubaneswar,Corporate
C10510,Joshi Enterprises,West,Mumbai,Retail
C10511,Chopra Retail,East,Patna,Corporate
C10512,Das Store,Central,Nagpur,Online
C10513,Mehta Store,Central,Indore,Retail
C10514,Nair Shop,West,Surat,Retail
C10515,Malhotra Emporium,South,Chennai,Online
C10516,Iyer Enterprises,East,Patna,Retail
C10517,Mehta Traders,Central,Bhopal,Retail
C10518,Shah Store,East,Kolkata,Retail
C10519,Shah Shop,East,Patna,Retail
C10520,Pillai Store,North,Jaipur,Retail
C10521,Shah Traders,Central,Nagpur,Wholesale
C10522,Verma Distributors,West,Surat,Wholesale
C10523,Kumar Shop,South,Bengaluru,Retail
C10524,Iyer Store,East,Kolkata,Online
C10525,Gupta Emporium,East,Patna,Retail
C10526,Joshi Mart,North,Chandigarh,Online
C10527,Gupta Distributors,Central,Bhopal,Corporate
C10528,Verma Store,Central,Raipur,Corporate
C10529,Joshi Emporium,Central,Raipur,Retail
C10530,Reddy Distributors,South,Hyderabad,Online
C10531,Das Shop,South,Bengaluru,Online
C10532,Nair Retail,North,Jaipur,Wholesale
C10533,Gupta Shop,West,Surat,Corporate
C10534,Rahul Retail,South,Bengaluru,Retail
C10535,Verma Retail,Central,Bhopal,Wholesale
C10536,Shah Store,Central,Raipur,Retail
C10537,Sharma Emporium,North,Delhi,Retail
C10538,Rao Enterprises,Central,Nagpur,Online
C10539,Gupta Retail,North,Lucknow,Wholesale
C10540,Verma Distributors,East,Patna,Online
C10541,Das Emporium,East,Patna,Retail
C10542,Rao Retail,Central,Raipur,Corporate
C10543,Sharma Retail,West,Ahmedabad,Wholesale
C10544,Rao Retail,Central,Indore,Retail
C10545,Joshi Retail,East,Kolkata,Retail
C10546,Gupta Enterprises,Central,Nagpur,Retail
C10547,Patel Emporium,Central,Bhopal,Online
C10548,Patel Emporium,Central,Nagpur,Retail
C10549,Nair Retail,East,Patna,Retail
C10550,Mehta Traders,South,Kochi,Retail
C10551,Rao Mart,Central,Nagpur,Retail
C10552,Malhotra Emporium,West,Mumbai,Wholesale
C10553,Pillai Shop,Central,Nagpur,Corporate
C10554,Malhotra Mart,East,Patna,Corporate
C10555,Verma Shop,Central,Nagpur,Corporate
C10556,Shah Mart,West,Mumbai,Wholesale
C10557,Nair Shop,West,Ahmedabad,Corporate
C10558,Kapoor Shop,North,Delhi,Retail
C10559,Kumar Retail,East,Kolkata,Retail
C10560,Joshi Shop,West,Surat,Corporate
C10561,Shah Retail,West,Mumbai,Online
C10562,Bose Enterprises,Central,Nagpur,Retail
C10563,Nair Emporium,South,Bengaluru,Retail
C10564,Bose Store,South,Hyderabad,Retail
C10565,Sharma Traders,Central,Indore,Retail
C10566,Patel Traders,Central,Indore,Online
C10567,Pillai Retail,North,Lucknow,Retail
C10568,Sharma Distributors,South,Bengaluru,Wholesale
C10569,Pillai Emporium,Central,Bhopal,Retail
C10570,Bose Shop,North,Lucknow,Online
C10571,Malhotra Shop,West,Ahmedabad,Wholesale
C10572,Malhotra Distributors,North,Chandigarh,Retail
C10573,Singh Shop,North,Jaipur,Retail
C10574,Sharma Mart,West,Surat,Retail
